
Test: Connect / Disconnect

Test: Disconnect during reco cancels.
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.951Z"} | privId: 3FFB3DF97CE64563ABD5EE07D4222FBC | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.954Z"} | privId: 01ABCDEF712E4D409577789AD086CB9B | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.956Z"} | privId: CCB1BA2527EE4E4A869E83EC762A8D28 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.961Z"} | privId: CDF5D8F9E76A445FAC11744EAB511956 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.963Z"} | privId: 1F105412800643B4915B251E2F788FE9 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.953Z"} | privId: 580233EC3FA642DFBF9AD580F43CCF6D | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.965Z"} | privId: 1524BEFEC1014331B978AB9A659366CD | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.967Z"} | privId: 132CE5B85262459ABE2ED19275426117 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.958Z"} | privId: F400EE11585341E790DBBF978CB13303 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.959Z"} | privId: 9A3335D6293F4665BF18FD85004EFB89 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.970Z"} | privId: A9D62663DB874042A9427E464A687FA9 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.975Z"} | privId: 2DC9E85ECA2447C3B2B2CA561D84971A | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.978Z"} | privId: 812C6774A18D4B6FA5D56B579C028E46 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.980Z"} | privId: 0AEE10B6989648EB87B2E9E5FB341E53 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.982Z"} | privId: 495909E721E94C479B298B24A431A93F | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.983Z"} | privId: 1071A8E5B95F4F429BE2576037047582 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.976Z"} | privId: D33998144D374BCAB3DEC0E3A2AC562C | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.973Z"} | privId: 9E0F2EF0FF854D429531AA7B5ED0E291 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.984Z"} | privId: 94A332201BE94A7896E88DDB26E6E530 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.985Z"} | privId: E0FE3CFFBEA84A97825F51D7C9D22972 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.986Z"} | privId: DC2B808315CF4F07B31887A6831C9C1F | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.979Z"} | privId: 9BF6A826C8404A5888373D8449E18AD4 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.989Z"} | privId: 9159E919544D4378905D35C709DEB80C | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
Sent: undefined | undefined | privBody: {} | privMessageType: 1 | privHeaders: {"Path":"audio","X-RequestId":"08FBD761B27C48F48CD9E330106C5B6A","X-Timestamp":"2020-10-30T16:43:22.988Z"} | privId: ABFFE824AFF44AC1BD570F9AB96237F0 | privSize: 3200 | privPath: audio | privRequestId: 08FBD761B27C48F48CD9E330106C5B6A | privContentType: <NULL> | privStreamId: <NULL> | privAdditionalHeaders: <NULL>
